"kill_death_ratio","kill_death_ratio_rival","map_name","win_stats","win_stats_rival","world_rank_position","world_rank_position_rival","winner"
1.05,1.1,mirage,50,80,6,24,0
1.1,1.05,mirage,80,50,24,6,1
1.1,1.05,dust2,100,80,24,6,1
1.05,1.1,dust2,80,100,6,24,0
1.04,1.05,mirage,33.3,75,23,7,1
1.05,1.04,mirage,75,33.3,7,23,0
1.04,1.05,train,100,50,23,7,1
1.05,1.04,train,50,100,7,23,0
1.1,0.96,overpass,80,50,20,25,1
0.96,1.1,overpass,50,80,25,20,0
1.1,0.96,mirage,0,33.3,20,25,1
0.96,1.1,mirage,33.3,0,25,20,0
0.96,1.1,inferno,50,40,25,20,1
1.1,0.96,inferno,40,50,20,25,0
1.05,1.1,inferno,50,83.3,11,16,1
1.1,1.05,inferno,83.3,50,16,11,0
0.98,1.29,nuke,14.3,100,18,19,1
1.29,0.98,nuke,100,14.3,19,18,0
1.05,1.05,inferno,50,50,11,6,1
1.05,1.05,inferno,50,50,6,11,0
0.98,1.09,train,60,0,18,10,1
1.09,0.98,train,0,60,10,18,0
1.1,1.29,train,50,100,16,19,1
1.29,1.1,train,100,50,19,16,0
1.1,1.09,nuke,80,66.7,16,10,1
1.09,1.1,nuke,66.7,80,10,16,0
1.07,1.05,dust2,80,50,13,11,0
1.05,1.07,dust2,50,80,11,13,1
1.05,1.07,vertigo,66.7,66.7,11,13,1
1.07,1.05,vertigo,66.7,66.7,13,11,0
1.07,1.05,train,100,66.7,13,11,1
1.05,1.07,train,66.7,100,11,13,0
0.98,0.91,mirage,100,25,18,21,1
0.91,0.98,mirage,25,100,21,18,0
0.91,0.98,inferno,37.5,71.4,21,18,1
0.98,0.91,inferno,71.4,37.5,18,21,0
0.91,0.98,train,40,60,21,18,1
0.98,0.91,train,60,40,18,21,0
1.07,1.1,dust2,80,66.7,13,16,1
1.1,1.07,dust2,66.7,80,16,13,0
1.07,1.1,inferno,0,83.3,13,16,1
1.1,1.07,inferno,83.3,0,16,13,0
1.13,1.05,train,100,50,1,6,1
1.05,1.13,train,50,100,6,1,0
1.13,1.05,dust2,77.8,80,1,6,1
1.05,1.13,dust2,80,77.8,6,1,0
0.96,1.29,dust2,40,100,5,19,1
1.29,0.96,dust2,100,40,19,5,0
0.96,1.29,inferno,75,80,5,19,1
1.29,0.96,inferno,80,75,19,5,0
1.29,0.96,overpass,100,0,19,5,1
0.96,1.29,overpass,0,100,5,19,0
0.94,1.05,overpass,0,50,14,6,1
1.05,0.94,overpass,50,0,6,14,0
1.13,0.99,dust2,77.8,0,1,8,1
0.99,1.13,dust2,0,77.8,8,1,0
1.22,0.98,mirage,75,100,4,18,1
0.98,1.22,mirage,100,75,18,4,0
0.96,0.91,inferno,75,37.5,5,21,1
0.91,0.96,inferno,37.5,75,21,5,0
1.13,1.05,mirage,66.7,0,9,11,1
1.05,1.13,mirage,0,66.7,11,9,0
1.07,1.08,overpass,25,100,13,12,1
1.08,1.07,overpass,100,25,12,13,0
1.1,1.05,dust2,0,37.5,15,7,1
1.05,1.1,dust2,37.5,0,7,15,0
1.05,0.99,vertigo,50,0,6,8,1
0.99,1.05,vertigo,0,50,8,6,0
0.98,1.05,train,60,50,18,7,1
1.05,0.98,train,50,60,7,18,0
1.05,0.91,inferno,50,37.5,11,21,1
0.91,1.05,inferno,37.5,50,21,11,0
1.13,1.22,dust2,77.8,60,1,4,1
1.22,1.13,dust2,60,77.8,4,1,0
0.96,1.13,dust2,40,80,5,9,1
1.13,0.96,dust2,80,40,9,5,0
0.94,1.1,inferno,0,62.5,14,15,1
1.1,0.94,inferno,62.5,0,15,14,0
1.15,1.07,nuke,100,100,2,13,1
1.07,1.15,nuke,100,100,13,2,0
1.05,1.08,nuke,100,20,11,12,1
1.08,1.05,nuke,20,100,12,11,0
1.05,1.22,overpass,50,50,6,4,1
1.22,1.05,overpass,50,50,4,6,0
1.07,1.1,inferno,0,62.5,13,15,1
1.1,1.07,inferno,62.5,0,15,13,0
0.98,1.13,mirage,100,66.7,18,9,1
1.13,0.98,mirage,66.7,100,9,18,0
0.94,0.96,nuke,0,57.1,14,5,1
0.96,0.94,nuke,57.1,0,5,14,0
0.94,0.96,dust2,0,40,14,5,1
0.96,0.94,dust2,40,0,5,14,0
0.91,1.05,train,40,50,21,7,1
1.05,0.91,train,50,40,7,21,0
0.91,1.05,dust2,100,37.5,21,7,1
1.05,0.91,dust2,37.5,100,7,21,0
1.13,1.15,train,100,100,1,2,1
1.15,1.13,train,100,100,2,1,0
1.13,1.15,nuke,50,100,1,2,1
1.15,1.13,nuke,100,50,2,1,0
1.08,1.1,mirage,0,60,12,15,1
1.1,1.08,mirage,60,0,15,12,0
1.08,1.1,inferno,100,62.5,12,15,1
1.1,1.08,inferno,62.5,100,15,12,0
1.07,1.05,dust2,80,80,13,6,1
1.05,1.07,dust2,80,80,6,13,0
1.05,1.07,inferno,50,0,6,13,1
1.07,1.05,inferno,0,50,13,6,0
1.05,1.07,overpass,50,25,6,13,1
1.07,1.05,overpass,25,50,13,6,0
0.96,1.05,vertigo,0,66.7,5,11,1
1.05,0.96,vertigo,66.7,0,11,5,0
0.96,1.05,mirage,33.3,0,5,11,1
1.05,0.96,mirage,0,33.3,11,5,0
0.99,1.13,mirage,0,66.7,8,9,1
1.13,0.99,mirage,66.7,0,9,8,0
0.99,1.13,vertigo,0,0,8,9,1
1.13,0.99,vertigo,0,0,9,8,0
1.13,0.99,nuke,75,0,9,8,1
0.99,1.13,nuke,0,75,8,9,0
1.22,0.91,mirage,75,25,4,21,1
0.91,1.22,mirage,25,75,21,4,0
1.22,0.91,dust2,60,100,4,21,1
0.91,1.22,dust2,100,60,21,4,0
1.15,0.98,inferno,83.3,71.4,2,18,1
0.98,1.15,inferno,71.4,83.3,18,2,0
1.15,0.98,vertigo,100,0,2,18,1
0.98,1.15,vertigo,0,100,18,2,0
0.98,1.15,dust2,40,66.7,18,2,1
1.15,0.98,dust2,66.7,40,2,18,0
0.99,1.07,vertigo,0,66.7,8,13,1
1.07,0.99,vertigo,66.7,0,13,8,0
0.99,1.07,inferno,50,0,8,13,1
1.07,0.99,inferno,0,50,13,8,0
1.07,0.99,dust2,80,0,13,8,1
0.99,1.07,dust2,0,80,8,13,0
1.22,1.05,mirage,75,0,4,11,1
1.05,1.22,mirage,0,75,11,4,0
1.22,1.05,dust2,60,50,4,11,1
1.05,1.22,dust2,50,60,11,4,0
0.98,1.08,mirage,100,0,18,12,1
1.08,0.98,mirage,0,100,12,18,0
1.08,0.98,inferno,100,71.4,12,18,1
0.98,1.08,inferno,71.4,100,18,12,0
1.08,0.98,nuke,20,14.3,12,18,1
0.98,1.08,nuke,14.3,20,18,12,0
0.99,0.94,mirage,0,100,8,14,1
0.94,0.99,mirage,100,0,14,8,0
0.99,0.94,nuke,0,0,8,14,1
0.94,0.99,nuke,0,0,14,8,0
1.05,0.96,mirage,50,33.3,6,5,1
0.96,1.05,mirage,33.3,50,5,6,0
1.05,0.96,dust2,80,40,6,5,1
0.96,1.05,dust2,40,80,5,6,0
0.96,1.05,inferno,75,50,5,6,1
1.05,0.96,inferno,50,75,6,5,0
1.13,1.08,dust2,77.8,75,1,12,1
1.08,1.13,dust2,75,77.8,12,1,0
1.13,1.08,mirage,83.3,0,1,12,1
1.08,1.13,mirage,0,83.3,12,1,0
1.15,1.22,vertigo,100,100,2,4,1
1.22,1.15,vertigo,100,100,4,2,0
1.15,1.22,overpass,0,50,2,4,1
1.22,1.15,overpass,50,0,4,2,0
1.05,0.99,mirage,50,0,6,8,1
0.99,1.05,mirage,0,50,8,6,0
1.05,0.99,dust2,80,0,6,8,1
0.99,1.05,dust2,0,80,8,6,0
1.15,1.13,train,100,100,2,1,1
1.13,1.15,train,100,100,1,2,0
1.15,1.13,overpass,0,100,2,1,1
1.13,1.15,overpass,100,0,1,2,0
1.15,1.05,inferno,83.3,50,2,6,1
1.05,1.15,inferno,50,83.3,6,2,0
1.15,1.05,dust2,66.7,80,2,6,1
1.05,1.15,dust2,80,66.7,6,2,0
1.1,0.96,nuke,80,55.6,16,25,1
0.96,1.1,nuke,55.6,80,25,16,0
0.98,1.05,dust2,40,50,18,11,1
1.05,0.98,dust2,50,40,11,18,0
1.05,0.98,overpass,50,0,11,18,1
0.98,1.05,overpass,0,50,18,11,0
1.05,0.98,train,66.7,60,11,18,1
0.98,1.05,train,60,66.7,18,11,0
1.1,1.04,train,50,100,16,23,1
1.04,1.1,train,100,50,23,16,0
1.1,1.04,inferno,83.3,28.6,16,23,1
1.04,1.1,inferno,28.6,83.3,23,16,0
1.04,1.1,dust2,75,66.7,23,16,1
1.1,1.04,dust2,66.7,75,16,23,0
1.1,1.1,mirage,80,33.3,24,16,1
1.1,1.1,mirage,33.3,80,16,24,0
1.1,1.1,overpass,80,50,24,16,1
1.1,1.1,overpass,50,80,16,24,0
1.1,0.94,inferno,83.3,0,16,14,1
0.94,1.1,inferno,0,83.3,14,16,0
1.1,1.08,train,100,0,15,12,1
1.08,1.1,train,0,100,12,15,0
1.05,1.05,overpass,80,50,7,6,1
1.05,1.05,overpass,50,80,6,7,0
1.1,1.05,dust2,66.7,80,16,6,1
1.05,1.1,dust2,80,66.7,6,16,0
1.05,1.08,inferno,50,100,6,12,1
1.08,1.05,inferno,100,50,12,6,0
1.1,1.08,nuke,80,20,16,12,1
1.08,1.1,nuke,20,80,12,16,0
1.05,1.1,mirage,50,60,6,15,1
1.1,1.05,mirage,60,50,15,6,0
0.94,1.05,dust2,0,37.5,14,7,1
1.05,0.94,dust2,37.5,0,7,14,0
1.1,1.1,dust2,0,66.7,15,16,1
1.1,1.1,dust2,66.7,0,16,15,0
1.05,1.08,nuke,25,20,7,12,1
1.08,1.05,nuke,20,25,12,7,0
1.05,0.94,dust2,80,0,6,14,1
0.94,1.05,dust2,0,80,14,6,0
1.05,1.1,overpass,50,50,6,16,1
1.1,1.05,overpass,50,50,16,6,0
1.05,1.1,dust2,80,66.7,6,16,1
1.1,1.05,dust2,66.7,80,16,6,0
1.1,1.05,inferno,83.3,50,16,6,1
1.05,1.1,inferno,50,83.3,6,16,0
1.09,0.98,vertigo,66.7,0,10,18,1
0.98,1.09,vertigo,0,66.7,18,10,0
1.09,0.98,mirage,63.6,100,10,18,1
0.98,1.09,mirage,100,63.6,18,10,0
1.1,1.05,inferno,33.3,50,24,6,1
1.05,1.1,inferno,50,33.3,6,24,0
1.05,1.1,dust2,50,66.7,11,16,1
1.1,1.05,dust2,66.7,50,16,11,0
1.05,1.1,mirage,0,33.3,11,16,1
1.1,1.05,mirage,33.3,0,16,11,0
1.05,0.92,dust2,80,0,6,22,1
0.92,1.05,dust2,0,80,22,6,0
1.05,0.92,inferno,50,50,6,22,1
0.92,1.05,inferno,50,50,22,6,0
0.92,1.05,mirage,25,50,22,6,1
1.05,0.92,mirage,50,25,6,22,0
1.05,0.98,inferno,50,71.4,11,18,1
0.98,1.05,inferno,71.4,50,18,11,0
1.05,0.98,dust2,50,40,11,18,1
0.98,1.05,dust2,40,50,18,11,0
0.96,1.05,inferno,50,50,25,6,1
1.05,0.96,inferno,50,50,6,25,0
0.96,1.05,vertigo,100,50,25,6,1
1.05,0.96,vertigo,50,100,6,25,0
1.05,1.06,mirage,50,75,6,3,1
1.06,1.05,mirage,75,50,3,6,0
1.05,1.06,train,50,80,6,3,1
1.06,1.05,train,80,50,3,6,0
1.06,1.05,dust2,0,80,3,6,1
1.05,1.06,dust2,80,0,6,3,0
1.04,1.22,vertigo,100,100,27,4,1
1.22,1.04,vertigo,100,100,4,27,0
1.04,1.22,mirage,0,75,27,4,1
1.22,1.04,mirage,75,0,4,27,0
1.05,1.1,dust2,50,50,11,20,1
1.1,1.05,dust2,50,50,20,11,0
1.05,1.1,mirage,0,0,11,20,1
1.1,1.05,mirage,0,0,20,11,0
1.1,1.05,nuke,71.4,100,20,11,1
1.05,1.1,nuke,100,71.4,11,20,0
1.1,1.05,inferno,62.5,71.4,15,7,1
1.05,1.1,inferno,71.4,62.5,7,15,0
1.1,1.05,dust2,0,37.5,15,7,1
1.05,1.1,dust2,37.5,0,7,15,0
1.05,1.1,dust2,80,66.7,6,16,1
1.1,1.05,dust2,66.7,80,16,6,0
1.05,1.1,train,50,50,6,16,1
1.1,1.05,train,50,50,16,6,0
1.1,1.05,inferno,83.3,50,16,6,1
1.05,1.1,inferno,50,83.3,6,16,0
1.13,1.04,nuke,50,66.7,1,27,1
1.04,1.13,nuke,66.7,50,27,1,0
1.13,1.04,mirage,83.3,0,1,27,1
1.04,1.13,mirage,0,83.3,27,1,0
1.09,1.1,overpass,66.7,80,10,24,1
1.1,1.09,overpass,80,66.7,24,10,0
0.96,1.09,vertigo,100,66.7,25,10,1
1.09,0.96,vertigo,66.7,100,10,25,0
1.1,1.07,nuke,80,100,16,13,1
1.07,1.1,nuke,100,80,13,16,0
1.1,1.07,overpass,50,25,16,13,1
1.07,1.1,overpass,25,50,13,16,0
1.07,1.1,dust2,80,66.7,13,16,1
1.1,1.07,dust2,66.7,80,16,13,0
1.05,1.07,overpass,50,71.4,11,17,1
1.07,1.05,overpass,71.4,50,17,11,0
1.05,1.07,dust2,50,0,11,17,1
1.07,1.05,dust2,0,50,17,11,0
1.05,1.1,dust2,50,66.7,11,16,1
1.1,1.05,dust2,66.7,50,16,11,0
1.05,1.1,mirage,0,33.3,11,16,1
1.1,1.05,mirage,33.3,0,16,11,0
1.09,1.1,train,0,33.3,10,24,1
1.1,1.09,train,33.3,0,24,10,0
1.09,1.1,nuke,66.7,50,10,24,1
1.1,1.09,nuke,50,66.7,24,10,0
1.04,1.09,inferno,28.6,80,23,10,0
1.09,1.04,inferno,80,28.6,10,23,1
1.04,1.09,mirage,33.3,63.6,23,10,1
1.09,1.04,mirage,63.6,33.3,10,23,0
1.04,1.09,train,100,0,23,10,1
1.09,1.04,train,0,100,10,23,0
1.07,1.1,nuke,62.5,80,17,16,1
1.1,1.07,nuke,80,62.5,16,17,0
1.07,1.1,mirage,50,33.3,17,16,1
1.1,1.07,mirage,33.3,50,16,17,0
0.92,1.05,mirage,25,75,22,7,1
1.05,0.92,mirage,75,25,7,22,0
0.92,1.05,nuke,60,25,22,7,1
1.05,0.92,nuke,25,60,7,22,0
0.92,1.05,mirage,25,0,22,11,1
1.05,0.92,mirage,0,25,11,22,0
0.92,1.05,inferno,50,50,22,11,1
1.05,0.92,inferno,50,50,11,22,0
1.1,1.1,overpass,80,50,20,15,1
1.1,1.1,overpass,50,80,15,20,0
1.1,1.1,dust2,50,0,20,15,1
1.1,1.1,dust2,0,50,15,20,0
1.07,0.94,dust2,80,0,13,14,1
0.94,1.07,dust2,0,80,14,13,0
1.07,0.94,nuke,100,0,13,14,1
0.94,1.07,nuke,0,100,14,13,0
1.13,1.13,nuke,50,75,1,9,1
1.13,1.13,nuke,75,50,9,1,0
1.13,1.13,vertigo,0,0,1,9,1
1.13,1.13,vertigo,0,0,9,1,0
1.22,1.07,dust2,60,80,4,13,1
1.07,1.22,dust2,80,60,13,4,0
1.22,1.07,overpass,50,25,4,13,1
1.07,1.22,overpass,25,50,13,4,0
1.07,1.22,inferno,0,100,13,4,1
1.22,1.07,inferno,100,0,4,13,0
1.13,1.15,dust2,77.8,66.7,1,2,1
1.15,1.13,dust2,66.7,77.8,2,1,0
1.13,1.15,inferno,80,83.3,1,2,1
1.15,1.13,inferno,83.3,80,2,1,0
1.07,0.94,dust2,80,0,13,14,1
0.94,1.07,dust2,0,80,14,13,0
1.07,0.94,overpass,25,0,13,14,1
0.94,1.07,overpass,0,25,14,13,0
0.94,1.07,nuke,0,100,14,13,1
1.07,0.94,nuke,100,0,13,14,0
1.15,1.22,vertigo,100,100,2,4,1
1.22,1.15,vertigo,100,100,4,2,0
1.15,1.22,overpass,0,50,2,4,1
1.22,1.15,overpass,50,0,4,2,0
1.22,1.15,dust2,60,66.7,4,2,1
1.15,1.22,dust2,66.7,60,2,4,0
1.13,1.07,dust2,77.8,80,1,13,1
1.07,1.13,dust2,80,77.8,13,1,0
1.13,1.07,nuke,50,100,1,13,1
1.07,1.13,nuke,100,50,13,1,0
1.13,1.15,inferno,80,83.3,1,2,1
1.15,1.13,inferno,83.3,80,2,1,0
1.13,1.15,dust2,77.8,66.7,1,2,1
1.15,1.13,dust2,66.7,77.8,2,1,0
1.13,1.15,nuke,50,100,1,2,1
1.15,1.13,nuke,100,50,2,1,0
1.15,1.13,train,100,100,2,1,1
1.13,1.15,train,100,100,1,2,0
1.15,0.93,train,100,0,2,28,1
0.93,1.15,train,0,100,28,2,0
1.07,1.09,train,100,0,13,10,1
1.09,1.07,train,0,100,10,13,0
0.94,1.06,mirage,100,75,14,3,1
1.06,0.94,mirage,75,100,3,14,0
1.08,0.91,overpass,100,50,12,21,1
0.91,1.08,overpass,50,100,21,12,0
1.13,1.29,nuke,50,100,1,19,1
1.29,1.13,nuke,100,50,19,1,0
1.05,1.05,inferno,71.4,50,7,11,1
1.05,1.05,inferno,50,71.4,11,7,0
1.15,1.07,nuke,100,100,2,13,1
1.07,1.15,nuke,100,100,13,2,0
1.15,1.07,dust2,66.7,80,2,13,1
1.07,1.15,dust2,80,66.7,13,2,0
1.09,0.93,vertigo,66.7,100,10,28,1
0.93,1.09,vertigo,100,66.7,28,10,0
1.09,0.93,mirage,63.6,50,10,28,1
0.93,1.09,mirage,50,63.6,28,10,0
0.93,1.09,nuke,0,66.7,28,10,1
1.09,0.93,nuke,66.7,0,10,28,0
0.92,1.1,nuke,60,71.4,22,20,1
1.1,0.92,nuke,71.4,60,20,22,0
0.92,1.1,mirage,25,0,22,20,1
1.1,0.92,mirage,0,25,20,22,0
0.96,0.94,inferno,75,0,5,14,1
0.94,0.96,inferno,0,75,14,5,0
0.96,0.94,dust2,40,0,5,14,1
0.94,0.96,dust2,0,40,14,5,0
0.94,0.96,nuke,0,57.1,14,5,1
0.96,0.94,nuke,57.1,0,5,14,0
1.05,1.13,mirage,0,83.3,11,1,1
1.13,1.05,mirage,83.3,0,1,11,0
1.05,1.13,train,66.7,100,11,1,1
1.13,1.05,train,100,66.7,1,11,0
0.91,1.22,inferno,37.5,100,21,4,1
1.22,0.91,inferno,100,37.5,4,21,0
1.22,0.91,mirage,75,25,4,21,1
0.91,1.22,mirage,25,75,21,4,0
1.22,0.91,dust2,60,100,4,21,1
0.91,1.22,dust2,100,60,21,4,0
1.09,0.94,mirage,63.6,100,10,14,1
0.94,1.09,mirage,100,63.6,14,10,0
1.09,0.94,train,0,50,10,14,1
0.94,1.09,train,50,0,14,10,0
1.06,1.07,train,80,100,3,13,1
1.07,1.06,train,100,80,13,3,0
1.06,1.07,inferno,63.6,0,3,13,1
1.07,1.06,inferno,0,63.6,13,3,0
1.05,1.29,mirage,75,57.1,7,19,1
1.29,1.05,mirage,57.1,75,19,7,0
1.05,1.29,overpass,80,100,7,19,1
1.29,1.05,overpass,100,80,19,7,0
1.07,1.05,dust2,0,80,17,6,1
1.05,1.07,dust2,80,0,6,17,0
1.07,1.05,inferno,42.9,50,17,6,1
1.05,1.07,inferno,50,42.9,6,17,0
1.29,1.22,mirage,57.1,75,19,4,1
1.22,1.29,mirage,75,57.1,4,19,0
1.29,1.22,nuke,100,0,19,4,1
1.22,1.29,nuke,0,100,4,19,0
1.15,0.96,vertigo,100,0,2,5,1
0.96,1.15,vertigo,0,100,5,2,0
1.15,0.96,dust2,66.7,40,2,5,1
0.96,1.15,dust2,40,66.7,5,2,0
1.06,1.09,overpass,66.7,66.7,3,10,1
1.09,1.06,overpass,66.7,66.7,10,3,0
1.06,1.09,inferno,63.6,80,3,10,1
1.09,1.06,inferno,80,63.6,10,3,0
1.08,1.05,overpass,100,80,12,7,1
1.05,1.08,overpass,80,100,7,12,0
1.08,1.05,inferno,100,71.4,12,7,1
1.05,1.08,inferno,71.4,100,7,12,0
1.29,1.05,inferno,80,50,19,11,1
1.05,1.29,inferno,50,80,11,19,0
1.05,1.29,dust2,50,100,11,19,1
1.29,1.05,dust2,100,50,19,11,0
1.05,1.29,mirage,0,57.1,11,19,1
1.29,1.05,mirage,57.1,0,19,11,0
1.07,0.92,dust2,0,0,17,22,1
0.92,1.07,dust2,0,0,22,17,0
1.07,0.92,mirage,50,25,17,22,1
0.92,1.07,mirage,25,50,22,17,0
1.06,1.05,dust2,0,37.5,3,7,1
1.05,1.06,dust2,37.5,0,7,3,0
1.06,1.05,overpass,66.7,80,3,7,1
1.05,1.06,overpass,80,66.7,7,3,0
1.05,1.06,nuke,25,100,7,3,1
1.06,1.05,nuke,100,25,3,7,0
1.1,1.04,nuke,50,50,24,23,1
1.04,1.1,nuke,50,50,23,24,0
1.04,1.1,overpass,57.1,80,23,24,1
1.1,1.04,overpass,80,57.1,24,23,0
1.04,1.1,inferno,28.6,33.3,23,24,1
1.1,1.04,inferno,33.3,28.6,24,23,0
0.96,1.05,mirage,33.3,0,5,11,1
1.05,0.96,mirage,0,33.3,11,5,0
0.96,1.05,dust2,40,50,5,11,1
1.05,0.96,dust2,50,40,11,5,0
1.05,0.96,inferno,50,75,11,5,1
0.96,1.05,inferno,75,50,5,11,0
0.92,1.1,dust2,50,50,26,20,1
1.1,0.92,dust2,50,50,20,26,0
1.1,0.92,overpass,80,42.9,20,26,1
0.92,1.1,overpass,42.9,80,26,20,0
1.1,0.92,dust2,50,50,20,26,1
0.92,1.1,dust2,50,50,26,20,0
1.1,0.92,overpass,80,42.9,20,26,1
0.92,1.1,overpass,42.9,80,26,20,0
1.06,1.15,overpass,66.7,0,3,2,1
1.15,1.06,overpass,0,66.7,2,3,0
1.06,1.15,nuke,100,100,3,2,1
1.15,1.06,nuke,100,100,2,3,0
1.08,0.96,nuke,20,57.1,12,5,1
0.96,1.08,nuke,57.1,20,5,12,0
0.96,1.08,overpass,0,100,5,12,1
1.08,0.96,overpass,100,0,12,5,0
0.96,1.08,dust2,40,75,5,12,1
1.08,0.96,dust2,75,40,12,5,0
1.04,1.1,mirage,33.3,0,23,20,1
1.1,1.04,mirage,0,33.3,20,23,0
1.1,1.04,overpass,80,57.1,20,23,1
1.04,1.1,overpass,57.1,80,23,20,0
1.1,1.04,vertigo,50,0,20,23,1
1.04,1.1,vertigo,0,50,23,20,0
1.07,1.1,inferno,42.9,40,17,20,1
1.1,1.07,inferno,40,42.9,20,17,0
1.07,1.1,overpass,71.4,80,17,20,1
1.1,1.07,overpass,80,71.4,20,17,0
0.96,1.06,dust2,40,0,5,3,1
1.06,0.96,dust2,0,40,3,5,0
1.06,0.96,inferno,63.6,75,3,5,1
0.96,1.06,inferno,75,63.6,5,3,0
1.06,0.96,mirage,75,33.3,3,5,1
0.96,1.06,mirage,33.3,75,5,3,0
1.04,0.92,dust2,75,50,23,26,1
0.92,1.04,dust2,50,75,26,23,0
1.04,0.92,nuke,50,42.9,23,26,1
0.92,1.04,nuke,42.9,50,26,23,0
0.92,1.04,train,66.7,100,26,23,1
1.04,0.92,train,100,66.7,23,26,0
1.05,0.97,inferno,50,10,6,30,1
0.97,1.05,inferno,10,50,30,6,0
1.05,1.1,train,66.7,33.3,11,24,1
1.1,1.05,train,33.3,66.7,24,11,0
1.05,1.1,inferno,50,33.3,11,24,1
1.1,1.05,inferno,33.3,50,24,11,0
1.1,1.05,dust2,100,50,24,11,1
1.05,1.1,dust2,50,100,11,24,0
1.1,0.93,inferno,62.5,0,15,28,1
0.93,1.1,inferno,0,62.5,28,15,0
1.1,0.93,mirage,60,50,15,28,1
0.93,1.1,mirage,50,60,28,15,0
0.96,0.92,nuke,55.6,60,25,22,1
0.92,0.96,nuke,60,55.6,22,25,0
1.1,1.13,nuke,50,75,24,9,0
1.13,1.1,nuke,75,50,9,24,1
